# Constructed from biom file
#OTU ID	SRR5989520	SRR5989522	SRR5989523	SRR5989524	SRR5989525	SRR5989528	SRR5989529	SRR5989530	SRR5989533	SRR5989534	SRR5989535	SRR5989547	SRR5989548	SRR5989550	SRR5989555	SRR5989557	SRR5989558	SRR5989559	SRR5989566	SRR5989567	SRR5989570	SRR5989571	SRR5989575	SRR5989576	SRR5989577	SRR5989578	SRR5989581	SRR5989585	SRR5989592	SRR5989593	SRR5989594	SRR5989595	SRR5989596	SRR5989597	SRR5989598	SRR5989599	SRR5989600	SRR5989601	SRR5989602	SRR5989603	SRR5989604	SRR5989615	SRR5989617	SRR5989618	SRR5989619	SRR5989620	SRR5989621	SRR5989622	SRR5989623	SRR5989625	SRR5989626	SRR5989628
7363aac88b5325ac49cb469e284e10dd	10.0	7.0	4.0	11.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	475.0	260.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	2343.0	2415.0	30.0	1473.0	278.0	244.0	68.0	0.0	68.0	634.0	221.0	2235.0	1819.0	2031.0	1926.0	2417.0	1776.0	773.0	2262.0	1982.0	2543.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	3418.0	9.0	5.0	0.0
7136390202d3547d7607d7826454f5cf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	685.0	342.0	0.0	95.0	0.0	0.0	0.0	0.0	0.0	2404.0	2120.0	0.0	1660.0	489.0	384.0	78.0	0.0	29.0	422.0	173.0	1956.0	1956.0	1922.0	2056.0	2215.0	1872.0	742.0	2108.0	2043.0	2235.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2984.0	0.0	0.0	0.0
ae044dbb0594810664895d6df0cfe22d	5.0	2.0	4.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	429.0	211.0	2.0	64.0	0.0	0.0	0.0	0.0	0.0	2087.0	2116.0	16.0	1369.0	269.0	238.0	39.0	3.0	38.0	276.0	110.0	1945.0	1786.0	1951.0	1849.0	2144.0	1771.0	802.0	2009.0	1903.0	2051.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	2856.0	9.0	7.0	0.0
edf83da6a493c4a3721701bdfde3afd9	392.0	1955.0	757.0	1672.0	577.0	446.0	956.0	1200.0	0.0	0.0	1293.0	232.0	559.0	0.0	219.0	1629.0	1037.0	2860.0	0.0	2290.0	0.0	0.0	129.0	0.0	260.0	320.0	0.0	0.0	790.0	30.0	68.0	45.0	29.0	0.0	11.0	0.0	0.0	66.0	0.0	0.0	16.0	2827.0	833.0	1840.0	0.0	1224.0	40.0	0.0	0.0	0.0	0.0	0.0
c7fe8c5f65f8eaed352dacb33037e7de	457.0	940.0	126.0	1383.0	3098.0	0.0	0.0	0.0	1345.0	889.0	0.0	0.0	170.0	1492.0	52.0	0.0	0.0	0.0	3725.0	0.0	0.0	0.0	0.0	85.0	23.0	0.0	294.0	2220.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	2081.0	3251.0	4562.0
53ae5f1c793dd7adca97f7e09e325e6e	6.0	5.0	2.0	7.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	403.0	244.0	3.0	37.0	0.0	0.0	0.0	0.0	0.0	1462.0	1915.0	13.0	1129.0	192.0	155.0	43.0	0.0	40.0	256.0	96.0	1786.0	1490.0	1991.0	1665.0	1980.0	1319.0	694.0	1734.0	1694.0	1818.0	0.0	8.0	0.0	3.0	0.0	0.0	0.0	2194.0	6.0	0.0	0.0
fe8456c34ec9fbe3eb330914af9687c8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4088.0	2912.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	6.0	58.0	12.0	30.0	5.0	0.0	1355.0	9003.0	3336.0	33.0	19.0	5.0	22.0	4.0	11.0	15.0	4.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.0	0.0	0.0	0.0
1cd30fcbf9157649a8933f4b41240f95	387.0	906.0	123.0	1264.0	2297.0	0.0	0.0	0.0	950.0	590.0	0.0	0.0	124.0	1023.0	40.0	0.0	0.0	0.0	2487.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	228.0	1500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	1462.0	2196.0	3114.0
09dba6fb5405a55fcc7ff2c5cab82a10	0.0	4.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	118.0	8.0	34.0	0.0	0.0	0.0	0.0	0.0	1297.0	1185.0	8.0	939.0	129.0	129.0	62.0	0.0	14.0	169.0	58.0	1310.0	1096.0	1202.0	1140.0	1326.0	1084.0	527.0	1261.0	1140.0	1529.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1813.0	3.0	0.0	0.0
f63e76a4ce2cd0f7f39e8195d8302dcf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226.0	119.0	6.0	36.0	0.0	0.0	0.0	0.0	0.0	1109.0	906.0	0.0	850.0	173.0	150.0	37.0	0.0	14.0	187.0	61.0	946.0	784.0	1445.0	856.0	1069.0	926.0	384.0	970.0	989.0	1069.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	1295.0	8.0	0.0	0.0
091a6fe437c9cd2484dd25e69c690bf6	98.0	113.0	0.0	39.0	578.0	0.0	13.0	0.0	525.0	913.0	23.0	59.0	71.0	542.0	26.0	0.0	0.0	0.0	1485.0	22.0	10.0	0.0	11.0	56.0	127.0	23.0	183.0	1267.0	0.0	24.0	14.0	65.0	0.0	19.0	0.0	6.0	178.0	0.0	0.0	19.0	0.0	51.0	20.0	14.0	2487.0	11.0	194.0	0.0	53.0	655.0	2072.0	1809.0
3393c688ec8361bc1282f8794a2b2c29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	267.0	124.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	1079.0	881.0	0.0	735.0	216.0	150.0	40.0	0.0	0.0	196.0	80.0	929.0	898.0	842.0	845.0	980.0	791.0	320.0	899.0	961.0	867.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1319.0	0.0	0.0	0.0
5a1479450f0f10026fd7bb3bc334dc81	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	3491.0	1263.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	33.0	0.0	0.0	465.0	5798.0	1056.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0
a6dfe1d2a436495ac43b6a3d84b38dde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1564.0	623.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	5.0	23.0	0.0	0.0	612.0	4695.0	1910.0	0.0	6.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
