ASV	Taxon	Confidence
991d1486087a097fb625f89d0d250f34	Bacteria;Proteobacteria;Gammaproteobacteria	0.999658231
81ad7903794bc9592f4a0c38650c9117	Bacteria;Actinobacteriota;Actinobacteria	0.999479459
98e2f19964e92577d84a8d1db282c520	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.999860867
7d864127da9fd31f51d09a8e1bf89c3a	Bacteria	0.999996896
02a6396a544bfb37de943121ea5cd4a8	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella-pallens-ATCC-700821	0.957656647
c4b37ee2cea7b151cb1d743af40427f7	Bacteria	0.999988686
7f631817fa5ba54d95232e9d6a46ab12	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.999993189
0f0f5711cd2e7bf609940f6bcbe7c807	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Burkholderia-ubonensis	0.997171019
d99c961fe5778c5a76ae7ff4c5917d6b	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.999992517
258df525b8b4083337319c7ed1c54b80	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerococcus;Anaerococcus-octavius	0.994226589
ee2759fd964965094ac7f3502e24e1b1	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Corynebacterium-kutscheri	0.954878164
c35c0f456afe07cfa56c5a97f570273d	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Burkholderia-ubonensis	0.985860415
1875167373c0662cfd5b66efc3700cd6	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Corynebacterium-kutscheri	0.999980767
b18f819ac7f0931aa504ae248ae7f100	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas-sp.-oral-clone-HF001	0.945584716
07f6252ec87762c3d5867b418a75ce19	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Staphylococcus-lentus	0.999775807
5a937ae1e5211cc0788c3ca03a02edbd	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	0.999821463
3e5277a0fb29ecc41c3556fc87f124dc	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Sinomonas;uncultured-Arthrobacter-sp.	0.998047469
3b674e26b9471fdc04b91520ab81886d	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Burkholderia-ubonensis	0.991371124
47b7a0504b1d852c0b136d6860716c9d	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter	0.821295095
e28a693057ae214fcb4dfa5acaa63fb0	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	0.99995318
91f6da2da7536ef7fbca4a8e0a58c71b	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	0.99935614
dce2b0586158525f005378d57c8dec54	Bacteria;Firmicutes;Clostridia;Clostridia-UCG-014;Clostridiales-bacterium-oral-taxon-075	0.999389904
9226fb6ad500eecc607241d19dcb8fac	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.991494982
189158ee0be42f132a101992cadd8891	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	0.996985941
f675f77714ed1f6c804565bddaa2fde0	Bacteria	0.999985671
4badfffcd2246fc9609eabd66aadd560	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.999867969
d41fb22167e15d7500e0fd2f652992a8	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	0.999886654
3571f23e2409285923f705560c4358fb	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoanaerobaculum;Lachnospiraceae-bacterium-oral-taxon-107	0.978010127
d3e1ba8a5a73bd2c4e49f4a72743bf89	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Burkholderia-ubonensis	0.999999974
0011514477927eb9b56c60e6638b40b7	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.999917466
c5616f99b594cdc9f469d3690244e276	Bacteria;Actinobacteriota;Actinobacteria	0.727325056
1c62a52fb7d962fd0da2b478d95be2e0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoanaerobaculum	0.995925208
ddbfaffdeb0b25420fb6b4a8b1cffd61	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella-nigrescens-ATCC-33563	0.972406298
8bc1112bbb6f538050c5c3c23b90db5b	Bacteria	0.999990037
02a281f034a27c59e60b62dc689ab93b	Bacteria;Proteobacteria;Gammaproteobacteria	0.966876786
7b62cf3d7ecea1c9e450e5a7b1cc8233	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.999727894
e5946461b74a6ea1fa13e3406817cd54	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	0.978294531
47bcf0d0d76f4fa1c6507d67e57ed125	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Kosakonia-sp.-25RA1	0.821836195
a179c8a5d6bdc16bd3955c4996ac66ff	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister	0.889876294
7f2e3bb2b47bf5b1c6bf85525a9f567c	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.999986378
ef187ab1f4e00e6dff055d0794d59d4c	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	0.999369971
f11358dfdd3837410f78e22faf9b825a	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Burkholderia-ubonensis	0.905266257
4e90e2da2f565614dc51cefecf43acdc	Bacteria;Firmicutes;Bacilli	0.732038773
0599bee549bc4d131c5999a919dffaad	Bacteria;Proteobacteria;Gammaproteobacteria	0.966256395
2284d0291da09452e88e5ff1925d10f6	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Sinomonas;uncultured-Arthrobacter-sp.	0.898221713
4d16c875c0c25ff6013df9f2a70f8ae7	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.999323004
4b66b324a8afe9801c13d41784a60caa	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	0.996763833
2673bcba0d8f891c9251346eefe597e8	Bacteria;Proteobacteria;Gammaproteobacteria	0.987791014
e49c942a5049e2aa0b00400b7d367759	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;unidentified-eubacterium-clone-3.3	0.956749252
5a4cf892270bb8a99a4839343efdb295	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia-sp.-oral-taxon-215-str.-W9775	0.999346471
b88bdb0a37cde3e279f97020fe5f7699	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	0.998435982
f3dc252ba316d298293247a68e6e29ce	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	0.999549853
e0ec4efaf5b7949bae93b03e7d5e8b52	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia-hongkongensis	0.939109463
b6686944d10bcb3a6d2cb1b4b768c9ed	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Burkholderia-ubonensis	0.874600732
73f7b3c9369ad2f484d4de48c259435a	Bacteria;Actinobacteriota;Actinobacteria	0.973565109
73798244379bc24549ffdcb956b29026	Bacteria;Proteobacteria;Gammaproteobacteria	0.981808062
478d96184579388771ed6e814f474e5e	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	0.957746217
8becd7d7252eacb2e8258b829f4c3c42	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	0.997442697
ee234dd298ec1a1d49aebcc3ab5ebeb2	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.99972366
7d0f3c5576a5e3960f837a18c1d4a58e	Bacteria	0.99999202
de6ded7e2fd603b0f8f59762652a81e9	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Lactobacillus-buchneri	0.999055026
adb53440a1f9cb32838444d0ac1db84f	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella-pallens-ATCC-700821	0.945398148
b5940617f3b0827ab86d191d36df6b24	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptoniphilus	0.999994492
4adbe3608dd6cb68cb66e668a06cab30	Bacteria	0.999993291
b18d63e389a57993422643792c6a4161	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Stomatobaculum;Eubacterium-sp.-oral-clone-DO016	0.998839763
7078128449ed09f981d901f28180eded	Bacteria	0.999168611
3caea0f647a9e8629b76df85c7c58ab3	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides-sp.-W20	0.9176517
e16f9e84eaf04abef4c135b90b234a70	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus	0.999242052
9b68c3ab04b700945d5c58539bf3f282	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas-sp.-oral-clone-HF001	0.949520761
976790f9331d2b0b099555f8ea6e7274	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella	0.969739934
b713b11d1107d37890ecbdded37d2143	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Parvimonas	0.999063991
46a2af4810e36b4bd9fd12afa154c13d	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Stomatobaculum;Stomatobaculum-longum	0.995035119
6cfb9616dfbc62988c22a022811bb0b9	Bacteria;Proteobacteria;Gammaproteobacteria	0.948842247
2f9da4ae712ad2051811d3cbfcc36210	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.999290228
105cd5b9c747f43b2753cee829eec9ee	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Ruminococcus-sp.-N15.MGS-57	0.981545202
f234630e6cf01cb38881b4895fadb95f	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.999729816
db5e067280b1689ef7d6aa77e703351f	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Sinomonas;uncultured-Arthrobacter-sp.	0.997950079
52ffcd9e69419f98b968fb88dd44db2f	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	0.999778239
b86d41554bb7fc4fcb9d19d45c67cbe2	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Sinomonas;uncultured-Arthrobacter-sp.	0.794646608
af413a23ef89b6c9b1db9eada18a70af	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella-nanceiensis	0.918834166
