ASV	SRR5989621
539b3bdf2d754be3e42face24e56e2b6	6.0
5d07734e1b6ef0c9c1a57e9f03cd66a3	6.0
2acfcbc6a33c11d5b421751838b9da4c	5.0
fa202bcdb1a1472b3a509ca0a87eac4e	5.0
affa9967b3682e6a73934195bfc9ef5f	5.0
7e464b9b7f9ca86103a675a09263efec	5.0
a63e80ec6ba29e0afc4e3bc7e7eb2203	5.0
37b92dccd6bbe685c1c3c60a8e50638b	4.0
5c4a1032c65d0d99d6d6bee379b63a2c	4.0
9911b064694b6e18cdb4dc00f7c64dfc	4.0
e7e7687f1f2196ab6ea2ad9f93e858e9	4.0
564e9f4d70915c0026898422d57b1431	4.0
acb7cd576a8880f06762034e62c305ef	3.0
9e3d2d850f94819a37acdc822d767c75	3.0
c35de9b71fd3eb2101844d124953d252	3.0
82465f2440c4d9519be367dec4ce0d87	3.0
c46988c35f8dc558bea0410672cc75cf	3.0
66bf23c21fc1d69fe9b3eae708569d48	3.0
85e04f0c4be28902c160757e2acf24f9	3.0
fd164d690cb60b75ff63061d8cdb2762	2.0
bd96f361c217a5b04f9228a4a5a4dab1	2.0
6960eba3db7d4d863d042ab497d7481a	1.0
b785ed5811db6d6ec2ce5a0549c31830	1.0
0646f27b08cef303c363429f1222c176	1.0
